,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2055,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6470,1,0,0,31,0,0,0,9,0,2,9,0,38,0,89,0,0,0,12,1,0,0,0,1,2,0,0,0,0,2,0,0,0,14,0,8,20,1,37,0,0,0,4
9608,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,262,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9586,0,0,0,0,0,10,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
983,0,0,0,0,88,0,0,0,0,0,0,0,0,0,244,0,0,290,24,0,200,0,0,4,0,0,0,2,0,6,0,0,0,15,0,0,24,1,0,0,0,0,0
11512,0,0,0,0,88,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8741,0,0,0,18,0,0,0,5,0,0,4,0,97,0,130,0,0,0,17,0,109,0,0,1,0,0,0,0,0,0,2,0,0,7,0,11,0,0,19,0,0,0,0
3859,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10596,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,290,24,0,200,0,0,4,0,0,0,2,0,6,0,0,0,15,0,0,24,1,0,0,0,0,0
1938,0,0,0,0,40,8,41,0,51,0,0,3,0,0,0,138,1,0,0,0,98,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,108,0
6592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9257,21,0,19,0,0,0,0,0,0,94,0,0,0,10,0,0,0,0,0,2,0,0,3,0,4,0,1,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,128
6218,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7694,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6167,21,0,19,40,0,0,0,10,0,99,16,0,147,10,0,0,0,0,0,2,0,0,3,0,4,0,1,0,8,0,2,0,0,0,0,24,0,0,91,10,0,0,132
2639,0,0,0,12,0,0,0,5,0,0,3,0,37,0,70,0,0,0,0,0,69,0,0,2,0,0,0,0,0,6,2,0,0,4,0,7,0,0,18,0,0,0,0
6211,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0
4270,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1939,0,0,0,0,88,20,75,0,112,0,0,14,0,0,0,262,2,0,0,0,200,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,264,0
6192,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
1530,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0
8476,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4612,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,0,0,0,40,0,0,0,10,0,0,16,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,91,0,0,0,0
4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10927,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6160,0,39,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,290,24,0,0,0,0,4,0,0,0,2,0,6,0,0,0,15,1,0,24,1,0,0,2,0,0
1943,0,0,0,0,88,20,75,0,0,0,0,14,0,0,0,262,2,0,0,0,200,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3565,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6299,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3581,0,0,0,0,88,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9256,21,0,19,0,0,0,0,0,0,99,0,0,0,10,0,0,0,0,0,2,0,0,3,0,4,0,1,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,132
7112,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
11365,21,0,19,40,0,0,0,10,0,99,16,0,147,10,0,0,0,0,0,2,0,0,3,0,4,0,1,0,8,0,2,0,0,0,0,24,0,0,91,10,0,0,132
7117,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
7695,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,88,20,75,0,0,0,0,14,0,0,0,262,2,0,0,0,200,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6237,6,0,8,24,0,10,32,4,0,2,6,11,105,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,13,0,0,38,7,0,0,0
9736,0,0,0,0,0,20,75,0,0,0,0,14,0,0,0,262,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,264,0
1342,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6474,0,0,0,0,32,5,34,0,0,0,0,7,0,0,0,114,2,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4585,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0
1137,0,0,0,0,88,0,0,0,0,0,0,0,0,0,244,0,0,290,24,0,200,0,0,4,0,0,0,2,0,6,0,0,0,15,0,0,24,1,0,0,0,0,0
985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
